source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,teff_gspphot,Cluster
2076272579147578112,295.3661188596596,39.76960937122666,0.33305693485807053,-2.9896921473689226,-4.384041121172931,15.452134,15.791465,14.931831,0.85963345,,6789.386,Other
2076273403781293184,295.34519706023264,39.78098754645581,0.40879575279379055,-2.944099832267272,-3.836996186703029,17.621805,18.126968,16.98831,1.1386585,,4756.381,Other
2076273536915513856,295.2944028469645,39.79261835227695,0.274113521815016,-3.167375806640598,-3.3400302624130402,17.610443,18.045736,17.004963,1.0407734,,4971.7344,Other
2076273605635434752,295.28802793271484,39.81068045430979,0.40082610876433855,-2.7920879913242347,-4.292537724350391,17.600134,18.058208,16.981825,1.0763836,,4888.6875,Other
2076273678659207680,295.32788143542194,39.8162705046894,0.43747490587952337,-2.7637670108248,-3.976268401283706,17.421295,17.893042,16.799917,1.0931244,,4842.3555,Other
2076276491852265984,295.57222098331715,39.82697729920965,0.3447365621428652,-3.0930553416637347,-3.9440801177448206,17.559952,18.083088,16.892353,1.1907349,,4661.462,Other
2076276874115049856,295.58977761843204,39.840064678207646,0.4509784932343986,-3.679764486995162,-3.339783254431149,15.827907,16.241344,15.24103,1.0003147,,5759.94,Other
2076277080273429760,295.53792841186896,39.80571143212824,0.3490956489753298,-3.2765918689296436,-3.8291424134683383,15.16304,15.800818,14.392798,1.40802,,4875.8066,Other
2076277114633176320,295.53918707931246,39.820592468870565,0.26870813909887686,-3.1521998926850543,-4.329857610869935,16.95935,17.347599,16.40559,0.942009,,5554.395,Other
2076277114633177984,295.54313079451043,39.81969893368554,0.24720175359713992,-2.3783795489528194,-3.649606930280754,17.784365,18.255665,17.175938,1.0797272,,4924.3506,Other
2076277526950057216,295.5339022373833,39.86446043345705,0.2987689237166666,-3.3402849128960463,-3.9141049027461063,17.723696,,,,,,Other
2076277836187747200,295.59314898877966,39.890594938172555,0.4309019387320617,-2.915717742694193,-3.9148510772804035,16.566362,16.95181,16.017096,0.9347153,,5250.308,Other
2076278587796269696,295.4063531259971,39.796654129884615,0.4265150526535169,-2.7079146342929077,-4.798563056805287,16.755331,17.202501,16.150028,1.0524731,,5233.1235,Other
2076278660821316480,295.38931911940824,39.82199994296753,0.3547837989435464,-3.118952781893676,-3.990600587335538,17.917807,18.413555,17.286568,1.1269875,,4794.362,Other
2076278759594984576,295.4530136648921,39.81410859364939,0.2812215619939142,-2.884545322785387,-3.7096466407853534,17.713953,18.214529,17.061775,1.1527538,,4732.0757,Other
2076278965753461888,295.46164353703887,39.84653049010628,0.39904802927036176,-2.8125126743348563,-3.7670129005931994,15.834942,16.194515,15.286097,0.90841866,,6358.183,NGC_6819
2076279004418729216,295.42719348210414,39.83193051397399,0.40617065293505944,-2.8822391539074736,-3.837958082207061,16.06469,16.431898,15.523773,0.9081249,,5857.282,Other
2076279760332937984,295.34810652081717,39.856693890950424,0.3418871828124226,-2.922809309098043,-3.76918082812044,16.00764,16.34797,15.4979315,0.8500376,,5931.441,Other
2076280310088812032,295.3929416532921,39.91595816806845,0.48012413438181023,-2.28760935788629,-3.999981332392723,14.6806,14.9495325,14.259361,0.69017124,,6767.3457,Other
2076280481887536640,295.48892999765206,39.87821452567556,0.48824540475472666,-2.11063237017565,-4.5479482533229465,15.851934,16.34106,15.213738,1.1273222,,5136.0693,Other
2076280653686215168,295.46749316312565,39.87617928714094,0.37319510370392395,-3.6559261752416865,-3.3306281469741648,17.007751,17.490755,16.351307,1.1394482,,5043.6724,Other
2076280859844671744,295.47499471860016,39.918278778825666,0.4877599387560355,-2.9947829524174336,-3.9965037054319206,17.756483,18.271511,17.074198,1.1973133,,4640.9297,Other
2076280894204417792,295.4897256024723,39.91487351121313,0.3506880433385276,-2.9116731915218033,-3.9318650971422495,16.058496,16.415394,15.533552,0.88184166,,6269.162,NGC_6819
2076281581399164544,295.4430730314517,39.93092811962479,0.30998651622664697,-2.8899050049301067,-3.8856674886378677,16.009676,16.36563,15.482788,0.8828411,,6324.4326,NGC_6819
2076281684478391424,295.46083777346644,39.93283530276621,0.3887915964440227,-2.911073077237538,-3.806770440099972,15.663372,16.001108,15.152632,0.8484764,,6290.5503,NGC_6819
2076281924991556608,295.45277664667725,39.96532871025566,0.37266064995189324,-2.9654724756998236,-3.820957343350638,17.059307,,,,,,NGC_6819
2076281924996575616,295.4572074550548,39.96232615149023,0.327982644003668,-3.773159792705418,-3.784568445601037,16.585846,16.986404,16.01476,0.97164536,,5284.0874,Other
2076282023770302848,295.48425121095187,39.94678041279917,0.3735935625861924,-2.838821311310791,-4.522479798224055,15.079199,15.404438,14.554056,0.85038185,,6448.762,Other
2076282195569024256,295.52854250844075,39.98137562340774,0.24617201514927448,-2.9393721337527823,-4.592981908898429,17.286154,17.854856,16.587944,1.2669125,,4466.8223,Other
2076282298648240896,295.46488633930466,39.97997184319584,0.4312626764564372,-3.0579796993364954,-3.9558817548082787,17.422972,17.908339,16.801754,1.1065845,,4839.677,Other
2076282302953709568,295.46774073237617,39.973712114641266,0.25825109818599334,-2.8819038502423804,-4.649932033028192,16.741262,17.142483,16.148682,0.9938011,,5047.9966,Other
2076282440392687104,295.49036844366003,40.00241715727197,0.39699560958088326,-2.975344785975829,-3.8266626638555477,15.357225,15.6767435,14.860155,0.8165884,,6399.6523,NGC_6819
2076282509112158464,295.4768156429741,40.003439599296314,0.23647019446403467,-2.494217317140601,-3.4311223378874365,15.86113,16.585903,15.038909,1.5469942,,4644.6943,Other
2076284532031791104,295.12100324395425,39.795266622108684,0.2433969894770563,-3.2804337186444847,-3.827686247079532,16.751352,17.120802,16.224005,0.8967972,,5383.9,Other
2076284738190254592,295.14247091130886,39.82393235115741,0.4028703262811735,-2.944156493958612,-4.006095419621029,17.877548,18.41538,17.20475,1.2106304,,4661.664,Other
2076284909988894464,295.2392721425612,39.77639855250036,0.49313270792786934,-2.5570606472944513,-4.504706768492708,17.801771,18.340416,17.034706,1.3057098,,4451.434,Other
2076285326610468736,295.2596202731358,39.80366311442449,0.36195798549094615,-2.820136541708993,-3.8547959661998106,17.172123,17.604889,16.582623,1.0222664,,5077.0474,Other
2076285326610475520,295.27539508218575,39.798918936431676,0.4547425207769118,-2.640652563416567,-4.152049204513015,16.604462,17.02974,16.01576,1.013979,,5300.209,Other
2076285567128682240,295.2921236312271,39.855129787060754,0.31100559045224563,-2.942495956791907,-3.3208948827083717,13.842761,14.450194,13.09762,1.3525743,-2.3934338,4785.863,Other
2076285665903626368,295.2283871059019,39.842067132033584,0.2798135393988641,-3.011766107540206,-3.1428990918691313,17.77355,18.105804,17.138247,0.9675579,,5190.2188,Other
2076285738927360000,295.2686645438756,39.85301510237846,0.3381152609152843,-2.7239753898231527,-4.865449529906886,16.971508,17.424324,16.359594,1.0647297,,5070.4575,Other
