source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,teff_gspphot,Cluster
3326188665921045120,99.18026329750082,8.938090379160096,0.11728941672749235,-0.7670383561742123,0.2023831391442472,17.720343,18.314255,16.970951,1.3433037,,5201.76,Other
3326188940798945920,99.12381551875427,8.924982702037381,-0.05256941543018679,0.3515939693515873,-0.8389417546567635,17.79218,18.782574,16.812962,1.9696121,,4615.897,Other
3326189391771063424,99.16103234902442,8.937258787711032,0.35419344971566386,-0.2299262387697167,-0.05545567734872868,16.855852,17.416264,16.147139,1.269125,,5466.8804,Other
3326189421835294080,99.17590821205467,8.955257187718843,0.42336400246512856,0.27842761683342204,-0.06925791395078738,17.581598,18.265062,16.802801,1.4622612,,5164.19,Other
3326189593633986432,99.10496924723985,8.958144605362628,0.3335849045812611,-0.5979683193116896,-0.2950402550870655,17.811178,18.43991,17.031984,1.4079266,,4466.0156,Other
3326189662353462400,99.14266323396832,8.954489238095379,0.3396361759344769,-0.2840752150929239,-0.10380430585067477,15.436248,15.956123,14.739611,1.2165127,,9490.018,Other
3326189765432681600,99.14142668975633,8.97628737303096,0.4520009712253298,0.9522793849713306,-1.02879425060009,17.696686,18.215895,16.721619,1.494276,,,Other
3326376343108229760,98.99820748062164,8.954159969836354,0.16008398882679814,-0.10244998269396251,0.4235359560625773,14.681229,15.533322,13.770581,1.7627411,69.25631,5043.0303,Other
3326376819847805056,99.0494259374334,8.936039717453399,0.24011753726424095,-0.5083765720428718,-0.02586419950925021,15.692659,16.749048,14.676348,2.0727005,,6421.5107,Other
3326377030302972544,99.0442245108619,8.94869340016226,0.4330867756961983,-1.3054196548637915,0.22996299371985973,17.666414,18.25864,16.895641,1.362999,,5146.1113,Other
3326377030302976896,99.0344155634352,8.952227190390019,0.39596158262566317,-0.8032316177316762,0.11673285737506574,15.179735,15.578925,14.600637,0.9782877,,,Other
3326377373900319488,99.09641046136211,8.970697570942102,0.3887908182860408,-0.4536552958888451,-0.019691908727357717,17.310741,18.037703,16.481598,1.5561047,,5273.131,Other
3326377403963430016,99.12338768388496,8.97946623933537,0.18762295621590658,0.09973838687142302,0.14286576481358282,16.619127,17.072443,15.987868,1.0845747,,,Other
3326377442619768320,99.13163685724555,8.993414765658752,0.3824087663466872,-0.6243944791976187,0.3909672951112195,17.346132,17.982407,16.585411,1.3969955,,5287.3784,Other
3326377472682932224,99.10328811852148,8.993908858980953,0.2373336600539458,-0.28530294503666437,-1.108238234242329,17.62164,18.176779,16.920822,1.2559566,,4489.745,Other
3326377683137948416,99.09079232710776,9.00167867813914,0.32720586864732737,-0.41870258944147093,-0.3339702275552343,17.722994,18.363834,16.960878,1.402956,,4839.1987,Other
3326377885007494016,98.9968230884457,8.965382464129267,0.15155339693349346,0.36461009596926963,-0.028801762114348557,17.677608,,,,,,Other
