source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,teff_gspphot,Cluster
420901507912889088,0.08237462125095478,56.014056040218165,0.32064401056544417,-0.38642802833589557,-1.5283070917682913,16.820808,17.2866,16.18437,1.1022301,,5409.382,Other
420906936751548288,0.23707980695951503,56.055887345029,0.59783780789015,-1.6516318272655544,-2.148538459429107,17.591908,18.355732,16.755722,1.6000099,,4343.03,Other
420907142909967104,0.14960735035411366,56.061128679524984,0.21184642025573255,-1.3121152645055316,-2.4216236026922378,15.102909,15.690556,14.344952,1.345604,,5978.2773,Other
420907722722130816,0.003523314624662458,56.075048187092754,0.34294515902246825,-1.7084690119345447,-2.459791832262379,16.090326,16.448742,15.559808,0.88893414,,6960.6714,Other
420908414210912512,0.01330002763132278,56.15227109239642,0.5608199258952428,-1.2458799422954678,-2.100258580347722,16.771912,,,,,,Other
420908517299495680,0.19919302980766707,56.084596214018234,0.36358776701229106,-0.7419336712144171,-1.635175828200742,16.538181,16.93589,15.968048,0.9678421,,5626.551,Other
420909857329256064,0.057305700619959966,56.16052035230123,0.46095042438011696,-1.3151933564718663,-1.8970536978542365,15.472329,15.901404,14.873019,1.0283852,,6024.7686,Other
420909956105417984,0.05646085348656161,56.16313177678249,0.35532637546975954,-0.21242665402014266,-1.937934578196085,17.336159,17.771893,16.723116,1.0487766,,5011.287,Other
420909990465240320,0.03354697572340356,56.191755676504265,0.44246155092036615,-0.6735953180483206,-1.1644115658145062,16.795717,17.24005,16.188007,1.052042,,5253.895,Other
420910097847425024,0.10381405547383019,56.169612349119305,0.4145704678151316,-0.5004001625537103,-2.4219342857811776,17.173536,17.522419,16.418568,1.1038513,,5031.6255,Other
420925044334638592,0.5696187081432437,56.24652154247003,0.40371658192591525,-1.1779293499315053,-1.0801333833771087,15.485403,15.812719,14.989179,0.8235407,,6647.5103,Other
420925250493059840,0.5394533634521066,56.25818142903876,0.5153691864155466,-1.06099628497248,-1.9824530355097987,16.93672,17.411928,16.299227,1.1127014,,5046.115,Other
420925284852797568,0.5074163194061379,56.25292847716288,0.4925781875936873,-0.678202565332038,-1.4485849132942477,16.257565,16.667795,15.673678,0.9941168,,5660.3574,Other
420925830307847936,0.49578829838267624,56.30810725577489,0.37831633436064843,-1.156583060700422,-1.0606025498397442,17.73037,18.148642,17.184237,0.96440506,,5168.6484,Other
420926831040990592,0.7025731776799916,56.35989353472025,0.5152368482053792,-1.388327001587073,-2.104182119090199,15.346874,15.785383,14.733531,1.0518522,,6015.8877,Other
420927754453328768,0.5762032170521268,56.37929396721053,0.49461369634843333,-0.8987991935265669,-1.9986950197050852,15.010862,15.350001,14.496625,0.8533764,,6559.708,NGC_7789
420927999272061056,0.5375691350760106,56.395349895011314,0.460867317722196,-1.0951280857580827,-1.380089413395125,17.678005,18.21508,17.01724,1.1978397,,4719.1304,Other
420928201129964800,0.5272595590861592,56.43178310182024,0.4300271922635455,-0.014978018270512058,-2.0240968612891246,17.03669,17.536108,16.38242,1.1536884,,5205.516,Other
420931297806997376,0.41454482820017546,56.2585012433329,0.6693231590900436,-0.8794818946059179,-1.519836034200487,17.936016,18.520788,17.217928,1.3028603,,4421.356,Other
420931774542438912,0.3270477034231698,56.26104894736754,0.49444249495822096,-0.8051684050974642,-2.005507534750427,16.522936,16.968552,15.911356,1.0571957,,5320.023,Other
420931877621617536,0.25466048315600587,56.25274679942395,0.4747000284060232,-0.7303270459875187,-2.3599400307299403,17.272396,17.716667,16.650408,1.0662594,,5124.809,Other
420932191160170880,0.3274571003350886,56.290575389414265,0.3863937410931854,-0.6801287513583095,-2.2712583075952235,16.512308,16.89647,15.935826,0.9606428,,5767.2456,Other
420932912714536832,0.16398863676323172,56.199890447124375,0.4519959946818717,-0.8526856691768162,-1.5425613007450343,13.493353,13.610535,13.24189,0.3686447,,9833.551,Other
420933118872960512,0.14071711043037358,56.230268731742626,0.3610250500331097,-0.3683097879077052,-2.4616380026491806,17.371998,17.996874,16.554518,1.4423561,,4435.9897,Other
420933909146938368,0.11675667103559431,56.247419154279946,0.4899048343066587,-0.81264342549191,-1.4540597567519957,16.185192,16.59263,15.604347,0.98828316,,5711.355,Other
420934080945624320,0.019599507714649297,56.256605850538605,0.5165693378658833,-0.9962205653173056,-1.8581278817321982,17.50911,18.056156,16.799936,1.2562199,,4628.076,Other
420934252744307072,0.007804112814009901,56.28826175125016,0.7276321945758509,-0.5642982904646909,-1.6520134381091793,17.576433,18.344357,16.720713,1.6236439,,4390.5386,Other
420934424543004288,0.10370321238744024,56.28876629004298,0.4308774946057789,-0.610414786203385,-2.3544806156719504,16.698483,17.13945,16.072315,1.0671349,,5326.8823,Other
420934527622213888,0.08865758646495596,56.306856267508934,0.24514228041745656,0.07038225594671756,-2.263080047951427,17.576145,18.063751,16.916325,1.1474266,,4720.4805,Other
420934699420903808,0.058205559286916835,56.30866785105742,0.39525163871549296,-0.9364025817138697,-1.4748916766883724,16.6428,17.149763,15.966989,1.1827745,,5480.6553,Other
420935111737775488,0.1677487877841423,56.28919698542685,0.7105827741550028,-0.1045509525030304,-1.9834151713063024,14.906357,15.24163,14.297663,0.94396687,,6229.561,Other
420935489695022336,0.21180547289530438,56.329933386708376,0.39532763116563485,-1.3749319496740597,-2.0652769586662543,17.134014,17.614534,16.49432,1.1202145,,5137.4653,Other
420935695853311744,0.1671111805760823,56.35043183991424,0.5523683701644061,-1.0551606167460625,-1.5875655680708747,17.037186,17.447632,16.382896,1.0647354,,5394.086,Other
420935798932648064,0.18234511427406389,56.36293417632938,0.4046580692087868,-0.7709467567076544,-2.4387933315376458,17.747847,18.261892,17.08258,1.1793118,,4770.74,Other
420935936371485440,0.09675704567548304,56.31430040322926,0.4677908102285528,-0.9374725231400025,-1.9863439700401897,15.326126,15.66965,14.800853,0.8687973,,6615.6333,NGC_7789
420936211249385088,0.058288487773959265,56.335995431038775,0.4636698328592789,-0.6871110688003694,-2.3930467460599227,16.904556,17.398245,16.255196,1.1430492,,5308.31,Other
420936348688333952,0.04207967588702449,56.35918489726492,0.49146732130459025,-0.45080514866944227,-1.60544262168905,17.871782,18.543203,17.109285,1.433918,,4271.017,Other
420936550545515392,0.07679078707120927,56.37586954089423,0.42623231751320856,-0.9517076651079073,-1.4772113197511112,17.858429,18.448076,17.14583,1.3022461,,4444.138,Other
420936761005187968,0.0327892332087655,56.39146850022897,0.4399073688271573,-0.6699811242812949,-1.949944241297977,14.666944,15.013806,14.142957,0.8708496,-31.882196,6580.18,NGC_7789
420936932803873024,0.04069112220873232,56.42358852746147,0.4688822577354547,-0.8879682056741115,-1.8789356667981407,13.851692,14.192918,13.339378,0.85353947,-37.942974,6800.8906,NGC_7789
420938818289075584,0.3565543337563139,56.38148055170171,0.6103025429521652,-1.5931530915716483,-1.6738871625582437,17.163954,17.62701,16.51475,1.1122608,,5145.594,Other
420938994388306944,0.290059636145361,56.404444552058514,0.5142332737917826,-0.9113563400770852,-1.8851124732135995,15.208298,15.548719,14.691729,0.8569908,,6541.666,NGC_7789
420939578503873920,0.3818072860113331,56.396695748239445,0.577323411809822,-1.0328217037556218,-1.8112093947667698,17.539137,18.149982,16.795666,1.3543167,,4762.8975,Other
420939715942811264,0.3784020065672786,56.42570114089489,0.5031031617337408,-0.8636973062643398,-1.938540830865084,14.9412775,15.272271,14.425976,0.84629536,,6641.5137,NGC_7789
420940231339233280,0.42925429605264526,56.47163305394482,0.4419752205172418,-0.89223771162443,-1.983011127939747,15.607298,15.99174,15.042901,0.9488392,,6372.0103,NGC_7789
420940334418107776,0.36533519427390865,56.4104368911333,0.438277276786914,-1.2091965469421395,-2.322710689690838,15.514525,15.872355,14.972329,0.9000263,,6533.641,Other
420940884173901312,0.36604435083233405,56.460407278367946,0.49080135105736306,-0.8196852136837889,-2.006638607979127,15.150698,15.509079,14.615611,0.8934679,,6761.0103,NGC_7789
420940952893368704,0.3178453668177277,56.47787814307768,0.505203811199391,-0.39338466998942934,-2.0071288499983666,15.090866,15.455104,14.5504675,0.9046364,,6634.7427,Other
420940952893373184,0.33673672251200276,56.46906553423842,0.4905507826650929,-1.2811809881505212,-1.8422579751854216,17.000647,17.494093,16.328188,1.165905,,5064.927,Other
420941193411529088,0.29326684627576616,56.49710293118477,0.22064613947548742,-1.176892010963468,-2.0690861647052126,17.99032,18.447561,17.303108,1.144453,,4844.145,Other
420941674438431104,0.19500383242411262,56.411869356209955,0.487486269153983,-0.8445919569577947,-2.4205479167652513,17.622143,18.209476,16.926615,1.2828617,,4770.1797,Other
420942499081581312,0.13801673728240926,56.47945056924162,0.5174535875429433,-0.7088880871471565,-0.862277191932521,16.733011,17.243761,16.029741,1.2140198,,5350.578,Other
420942567800969088,0.1068899328254245,56.421163257878156,0.33195923776209335,-1.1945406588070917,-2.1384258814812362,16.55709,17.020582,15.751327,1.2692556,,,NGC_7789
420942567800969984,0.12213710112662172,56.420944982535154,0.3422598283848413,-0.2173803994798281,-1.291345851355537,16.801895,17.222021,16.218552,1.0034695,,5651.3965,Other
420943117556774528,0.09813483765405247,56.469057325184934,0.4824861398355248,-0.7827447211960945,-2.0617376662966675,14.606389,14.933076,14.107612,0.82546425,-38.132523,6922.5366,NGC_7789
420943151916512384,0.07094409039904824,56.46701016430413,0.4803025417186992,-0.9640816374742003,-2.05911262678686,15.621786,16.003353,15.0665865,0.9367666,,6528.3276,NGC_7789
420943323715198592,0.06969423358482105,56.5136162692171,0.4927854304249182,-0.9260596005755678,-2.0527331035038023,15.900931,16.31131,15.316769,0.99454117,,6089.517,NGC_7789
420943388133610368,0.059534361874049035,56.49356008226159,0.2220044960547806,-0.8526478480733534,-1.914820843609393,17.520084,18.080902,16.822771,1.258131,,4796.7104,Other
420943766090718208,0.23028034120120108,56.47913624873433,0.4060043648051711,-0.8952698726091527,-1.9887331237105768,16.633856,17.103857,16.006506,1.0973511,,5363.7715,Other
420944010910060544,0.13071646246088373,56.51486112191808,0.3936955010694915,-0.027832590988084188,-1.8859195250418124,15.714945,16.085052,15.169533,0.9155197,,6950.5522,Other
420944075328411776,0.1672278700939268,56.516390873574395,0.2658586121564803,-1.6758800448039095,-1.9904220367989183,17.564962,17.997276,16.970234,1.0270424,,5327.0254,Other
420944663745080064,0.1321416418211675,56.565712601848354,0.4573280624602153,-0.7515039465458331,-1.9283731925714176,15.2313175,15.582906,14.702896,0.88000965,,6510.622,NGC_7789
420944698104817792,0.14344884881105063,56.57198310384863,0.39295628827730555,-0.48773476769082863,-1.4982803012682637,15.94388,16.411585,15.300599,1.1109858,,6299.6846,Other
420945179141153024,0.05520210529592459,56.562468638147564,0.4358473848874619,-0.8529538418031996,-1.9460841432993385,14.383588,14.72184,13.871589,0.8502512,-52.83533,6875.603,NGC_7789
420945625817748736,0.024503439147990143,56.5828912565338,0.4597798419565892,-0.8350415044133123,-1.9563061797662296,16.445028,16.841238,15.675143,1.1660948,,5282.1475,NGC_7789
421020392607398144,0.7588364660801427,56.48970621399352,0.40409512635474054,-1.6855114321429443,-1.7251499629216898,17.75171,18.242563,17.107077,1.1354866,,4765.089,Other
421020770564561024,0.7318457744035055,56.4030209117808,0.34231071544417035,-0.5750806281442001,-1.918017247153204,17.571804,18.01714,16.960594,1.0565453,,5181.709,Other
421021659617601280,0.6237262376003562,56.48338074703168,0.5264737601017908,-0.44943281359055554,-2.3332332872698736,17.51366,18.087112,16.826002,1.2611103,,4695.9595,Other
421021904435892736,0.5899014176579948,56.441733936559935,0.5281872379510852,-0.936291406307473,-2.042207044233843,16.469732,16.914068,15.8522415,1.0618267,,5454.281,Other
421022041874840448,0.5259183040122837,56.439385276592596,0.4852719244822089,-0.7936081667237532,-1.9641905015584635,16.599075,17.049898,15.978128,1.0717697,,5389.0303,Other
421022076234563584,0.5019225173033064,56.4580180980477,0.4707192818101492,-0.7192068910168332,-1.9960257148291407,10.556633,11.463681,9.626463,1.8372183,-54.38502,,NGC_7789
421022385472206336,0.6031773153928369,56.48424531450923,0.4747890305769444,-0.7986888674457951,-2.003419922534711,16.92091,17.407434,16.276999,1.130436,,5258.5293,Other
421022488551410688,0.589688250826704,56.497071205896894,0.462922545299531,-1.0072343277668985,-1.6190940312824775,14.590409,14.94022,14.064202,0.8760176,-87.69828,7201.676,Other
421023072666978432,0.6547847573724185,56.4876336663864,0.4746309678396539,-0.755453535247501,-2.2501192207792746,17.343533,17.879251,16.66637,1.2128811,,5004.54,Other
421023274525352832,0.6410550313627406,56.51605576419338,0.2729395336583472,-0.5856712482467049,-2.437774949989806,17.76262,18.272089,17.130825,1.141264,,4835.879,Other
421023721198056448,0.6247511817131501,56.55773719836939,0.45486137562287227,-0.7092221938788386,-2.0772607520884945,17.441093,18.01558,16.718546,1.2970333,,4766.745,Other
421023931660410496,0.6114266469908494,56.52043880125804,0.5082674570979507,-0.8216499668772794,-2.037017038236412,12.063478,12.815776,11.220231,1.5955448,-55.29985,4619.3267,NGC_7789
421024378336966144,0.5168182928157671,56.570392583980095,0.4109950600462155,-0.7379779274611796,-2.1621530311410844,16.356844,16.877993,15.649456,1.2285366,,5416.4956,Other
421024859373282432,0.5400524091667772,56.60320486316583,0.3118120073821403,-1.5968004893699763,-1.1515776420686399,17.319307,17.760649,16.700825,1.059824,,5541.953,Other
421024859373288320,0.5482440628917258,56.59724331955582,0.5669962178771482,-0.9053887819304465,-2.0952285132812207,16.582294,17.05724,15.943789,1.113451,,5316.7153,Other
421024928092960128,0.5237483861740749,56.61075431406764,0.43686689855588723,-0.8926704099927935,-1.9450266462427837,16.467983,16.949854,15.816219,1.1336346,,5837.4536,NGC_7789
